"","SampSize","numPosts","meanPageLikes","medianPageLikes","meanTalkingAbout","medianTalkingAbout","Min..pageLikes","1st Qu..pageLikes","Median.pageLikes","Mean.pageLikes","3rd Qu..pageLikes","Max..pageLikes","Min..tabc","1st Qu..tabc","Median.tabc","Mean.tabc","3rd Qu..tabc","Max..tabc","uniquePagesPosts","link.prcntPost","offer.prcntPost","photo.prcntPost","status.prcntPost","swf.prcntPost","video.prcntPost","meanPostCountperPage","meanPostLikes","medianPostLikes","meanPostCmnts","medianPostCmnts","link.likeRatePost","offer.likeRatePost","photo.likeRatePost","status.likeRatePost","swf.likeRatePost","video.likeRatePost","link.commentRatePost","offer.commentRatePost","photo.commentRatePost","status.commentRatePost","swf.commentRatePost","video.commentRatePost","Mon.likeRateDOW","Sun.likeRateDOW","Thu.likeRateDOW","Sat.likeRateDOW","Fri.likeRateDOW","Wed.likeRateDOW","Tue.likeRateDOW","09.likeRateHour","20.likeRateHour","13.likeRateHour","18.likeRateHour","17.likeRateHour","21.likeRateHour","15.likeRateHour","14.likeRateHour","16.likeRateHour","10.likeRateHour","11.likeRateHour","19.likeRateHour","22.likeRateHour","07.likeRateHour","12.likeRateHour","08.likeRateHour","02.likeRateHour","01.likeRateHour","00.likeRateHour","06.likeRateHour","23.likeRateHour","04.likeRateHour","03.likeRateHour","05.likeRateHour"
"Great Trad Pubs",81,1574,443.555555555556,225,18.641975308642,10,7,116,225,443.6,487,4114,0,4,10,18.64,21,152,78,0.0609911054637865,0,0.175984752223634,0.756670902160102,0,0.00635324015247776,20.1794871794872,0.848792884371029,0,0.31130876747141,0,0.34375,0,1.1985559566787,0.808564231738035,0,0.8,0.0208333333333333,0,0.469314079422383,0.300587741393787,0,0,0.76555023923445,0.914414414414414,0.876447876447876,0.939393939393939,0.782608695652174,0.746606334841629,0.914893617021277,0.808333333333333,0.788990825688073,1.3,0.625,1,0,0.5,1.5,2.33333333333333,0.804347826086957,0.707317073170732,0.603305785123967,0.786585365853659,0.814285714285714,1.10989010989011,0.885714285714286,1.13636363636364,1.04615384615385,0.764150943396226,0.839080459770115,0.705882352941177,1.28947368421053,1.14035087719298,0.80952380952381
"Scream",42,939,2562.95238095238,2532,44.5952380952381,31.5,121,1535,2532,2563,3382,5243,0,22.5,31.5,44.6,60.75,170,41,0.0830670926517572,0,0.197018104366347,0.710330138445154,0,0.00958466453674121,22.9024390243902,1.59211927582535,1,0.98828541001065,0,0.653846153846154,0,2.88108108108108,1.3208395802099,0,3.33333333333333,0.346153846153846,0,0.843243243243243,1.10944527736132,0,0.555555555555556,1.67484662576687,1.6697247706422,1.32530120481928,1.6046511627907,1.42857142857143,1.62676056338028,1.97938144329897,7,1.72941176470588,1.859375,1.67441860465116,1,0.666666666666667,4.5,1.28571428571429,1.15384615384615,0.5,1.175,1.50684931506849,2.42857142857143,2,1.63095238095238,1.28571428571429,1.1,1.86363636363636,1.27777777777778,1,1.54347826086957,0,0,1.8
"Late Night Bars",31,563,3023.25806451613,2553,86.6129032258064,50,51,1350,2553,3023,4411,9261,1,22,50,86.61,142.5,295,31,0.106571936056838,0,0.490230905861456,0.358792184724689,0.00532859680284192,0.0390763765541741,18.1612903225806,2.95737122557726,1,0.655417406749556,0,0.766666666666667,0,4.8731884057971,1.23762376237624,1,0.954545454545455,0.216666666666667,0,0.601449275362319,0.876237623762376,0.333333333333333,0.545454545454545,3.2,3.23333333333333,3.7037037037037,2.26865671641791,2.88888888888889,2.91525423728814,2.52777777777778,2.35,1.4,3.27272727272727,5.5,1.94117647058824,0,1.08333333333333,2.07246376811594,2,3.17391304347826,6,5.58620689655172,2.59375,1.29787234042553,3.6,2.2,2.03846153846154,1.25,7.85714285714286,3.64285714285714,2.22222222222222,2.57142857142857,0,2.10810810810811
"Classic Inns",25,398,509.2,218,26.24,10,30,101,218,509.2,433,3598,0,2,10,26.24,40,179,24,0.108040201005025,0,0.241206030150754,0.64572864321608,0,0.0050251256281407,16.5833333333333,1.15577889447236,0,0.474874371859296,0,0.720930232558139,0,1.57291666666667,1.05058365758755,0,4,0.0697674418604651,0,0.364583333333333,0.579766536964981,0,1,2.26315789473684,1.39325842696629,0.51063829787234,0.907692307692308,1.14285714285714,0.931818181818182,0.648148148148148,1,1.17948717948718,1.09090909090909,2,0,4,1.24,1.5625,0.657142857142857,1.4,1.61111111111111,0.625,0.588235294117647,1.4,0.6,0.714285714285714,1,1.04,1.53846153846154,0,1.625,0,2.13333333333333,0
"Local Pubs",28,376,177.107142857143,116.5,6.85714285714286,2,4,59.75,116.5,177.1,217.8,811,0,0,2,6.857,11.25,32,26,0.0319148936170213,0,0.178191489361702,0.784574468085106,0,0.00531914893617021,14.4615384615385,1.07446808510638,0,0.396276595744681,0,0.916666666666667,0,1.14925373134328,1.06440677966102,0,1,0.25,0,0.26865671641791,0.433898305084746,0,0,1.171875,0.829787234042553,0.847222222222222,0.63265306122449,1.18367346938776,1.44444444444444,1.51219512195122,4,1.06451612903226,0.521739130434783,0.888888888888889,1.58620689655172,1.16129032258065,1.76923076923077,1.60714285714286,0.74468085106383,0,0.90625,0.5,1,1,0.956521739130435,0.2,0,0.615384615384615,0.666666666666667,0,1.52173913043478,0,0,1.72727272727273
"Yates",58,961,3258.03448275862,3030.5,63.1551724137931,36.5,60,1152,3030,3258,5288,8177,0,15.75,36.5,63.16,90.75,252,56,0.0707596253902185,0,0.291363163371488,0.622268470343392,0,0.0156087408949011,17.1607142857143,1.33610822060354,1,0.465140478668054,0,0.602941176470588,0,1.25,1.48160535117057,0,0.466666666666667,0.0735294117647059,0,0.392857142857143,0.555183946488294,0,0,1.45569620253165,1.07865168539326,1.27777777777778,1.52631578947368,1.13223140495868,1.13888888888889,1.51764705882353,0,0.555555555555556,1.76470588235294,0.818181818181818,0.8125,0.851063829787234,1.79310344827586,1.34042553191489,1,1.4468085106383,1.32323232323232,1.39189189189189,1.41818181818182,1.72727272727273,1.11111111111111,2.5,1.76315789473684,3.89473684210526,2,1.14516129032258,0.841269841269841,1.66666666666667,1.39705882352941,0.947368421052632
"Slug and Lettuce",27,376,350.518518518519,133,24.5185185185185,10,13,53,133,350.5,391.5,2701,0,0.5,10,24.52,22.5,183,25,0.0957446808510638,0,0.210106382978723,0.686170212765957,0,0.00797872340425532,15.04,0.667553191489362,0,0.127659574468085,0,0.333333333333333,0,0.911392405063291,0.643410852713178,0,0.333333333333333,0.0277777777777778,0,0.113924050632911,0.12015503875969,0,2.33333333333333,1.06779661016949,0.606060606060606,0.533333333333333,0.466666666666667,0.9,0.55,0.434782608695652,0.441176470588235,0.566666666666667,0,0.333333333333333,0.948717948717949,0.785714285714286,0.666666666666667,0.875,0.263157894736842,2,0.5,0,0,0.307692307692308,0.470588235294118,0.808510638297872,0.5,1.15789473684211,1.625,0.4,0.58974358974359,0,0.363636363636364,0.5
"Missoula & Unbranded",6,125,2296.83333333333,1952,70.6666666666667,65,478,802,1952,2297,3460,5018,12,21,65,70.67,94.75,171,6,0.024,0,0.264,0.704,0,0.008,20.8333333333333,1.368,0,0.472,0,1.33333333333333,0,2.81818181818182,0.818181818181818,0,2,0,0,0.484848484848485,0.488636363636364,0,0,1.08333333333333,0.791666666666667,0.571428571428571,4.42857142857143,0.545454545454545,1.19047619047619,1.77777777777778,1.16666666666667,0,2.26666666666667,0.857142857142857,1,0.647058823529412,0.333333333333333,0.142857142857143,0,0.4,2.5,1.41666666666667,2.21428571428571,1,2.71428571428571,0.666666666666667,0.5,0,0,0,0.857142857142857,0,0,0
