"","AbsoluteUniqueVisitors","Visits","FBReferrals","PubExplorerReferrals","TotalInteractions","FBLikes","FBUnlikes","XmasMenuDownloads","MenuDownloads","GooglePlacesReferrals","LunchMenuDownloads","DiningMenuDownloads","MainMenuDownloads","timeOnSite","likeRate"
"lighterinn.co.uk","848","1008","6","0","399","3","0","0","382","0","0","0","0","96905","0.00297619047619048"
"queenscollegearms.co.uk","911","1116","5","0","545","3","0","0","509","0","0","0","438","75496","0.00268817204301075"
"theeelpie.co.uk","313","333","4","0","0","0","0","0","0","0","0","0","0","2639","0"
"lockstockbarrelocksheath.co.uk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"oldnickholborn.co.uk","617","698","0","0","5","1","0","0","0","0","0","0","0","16637","0.00143266475644699"
"therisingsunwimborne.co.uk","132","158","0","0","1","0","0","0","0","0","0","0","0","4507","0"
"shastonarms.co.uk","732","867","17","0","1","0","0","0","0","0","0","0","0","23951","0"
"shipandshovell.co.uk","1559","1810","11","0","243","7","0","0","234","0","0","0","234","77018","0.00386740331491713"
"ststephenstavern.co.uk","1406","1622","7","0","351","0","0","0","343","0","0","0","343","96952","0"
"hall-woodhousebath.co.uk","4613","5589","40","0","2551","14","0","0","2408","0","0","1568","0","647042","0.00250492037931651"
"lulworth-coveinn.co.uk","4575","5695","13","0","775","6","0","0","668","0","0","0","609","418504","0.00105355575065847"
"http://beachhousemilfordonsea.co.uk","2929","3644","7","0","1228","6","0","0","835","0","0","0","711","346180","0.00164654226125137"
"H&W Portishead","2858","3607","10","0","1100","6","0","0","1083","0","0","0","841","273376","0.00166343221513723"
"socweb-test.co.uk/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"socweb-test.co.uk/externaltest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"socweb-test.co.uk/burdtwo (kevindavies.co.uk)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://socweb-test.co.uk/analyticstest","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"http://bonhurst.co.uk - Analytic test2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
